d/L0,d/L,H/H0',,,
0.4960 ,0.4979 ,0.9901 ,,,
0.4970 ,0.4989 ,0.9902 ,,,
0.4980 ,0.4999 ,0.9903 ,,,
0.4990 ,0.5009 ,0.9904 ,,,
0.5000 ,0.5018 ,0.9905 ,,,
0.5010 ,0.5028 ,0.9906 ,,,
0.5020 ,0.5038 ,0.9907 ,,,
0.5030 ,0.5048 ,0.9908 ,,,
0.5040 ,0.5058 ,0.9909 ,,,
0.5050 ,0.5067 ,0.9909 ,,,
0.5060 ,0.5077 ,0.9910 ,,,
0.5070 ,0.5087 ,0.9911 ,,,
0.5080 ,0.5097 ,0.9912 ,,,
0.5090 ,0.5107 ,0.9913 ,,,
0.5100 ,0.5117 ,0.9914 ,,,
0.5110 ,0.5126 ,0.9915 ,,,
0.5120 ,0.5136 ,0.9915 ,,,
0.5130 ,0.5146 ,0.9916 ,,,
0.5140 ,0.5156 ,0.9917 ,,,
0.5150 ,0.5166 ,0.9918 ,,,
0.5160 ,0.5176 ,0.9919 ,,,
0.5170 ,0.5185 ,0.9919 ,,,
0.5180 ,0.5195 ,0.9920 ,,,
0.5190 ,0.5205 ,0.9921 ,,,
0.5200 ,0.5215 ,0.9922 ,,,
0.5210 ,0.5225 ,0.9923 ,,,
0.5220 ,0.5235 ,0.9924 ,,,
0.5230 ,0.5244 ,0.9924 ,,,
0.5240 ,0.5254 ,0.9925 ,,,
0.5250 ,0.5264 ,0.9926 ,,,
0.5260 ,0.5274 ,0.9927 ,,,
0.5270 ,0.5284 ,0.9927 ,,,
0.5280 ,0.5294 ,0.9928 ,,,
0.5290 ,0.5304 ,0.9929 ,,,
0.5300 ,0.5314 ,0.9930 ,,,
0.5310 ,0.5323 ,0.9931 ,,,
0.5320 ,0.5333 ,0.9931 ,,,
0.5330 ,0.5343 ,0.9932 ,,,
0.5340 ,0.5353 ,0.9933 ,,,
0.5350 ,0.5363 ,0.9933 ,,,
0.5360 ,0.5373 ,0.9934 ,,,
0.5370 ,0.5383 ,0.9935 ,,,
0.5380 ,0.5393 ,0.9935 ,,,
0.5390 ,0.5402 ,0.9936 ,,,
0.5400 ,0.5412 ,0.9936 ,,,
0.5410 ,0.5422 ,0.9937 ,,,
0.5420 ,0.5432 ,0.9938 ,,,
0.5430 ,0.5442 ,0.9938 ,,,
0.5440 ,0.5452 ,0.9939 ,,,
0.5450 ,0.5461 ,0.9940 ,,,
0.5460 ,0.5471 ,0.9941 ,,,
0.5470 ,0.5481 ,0.9941 ,,,
0.5480 ,0.5491 ,0.9942 ,,,
0.5490 ,0.5501 ,0.9942 ,,,
0.5500 ,0.5511 ,0.9942 ,,,
0.5510 ,0.5521 ,0.9942 ,,,
0.5520 ,0.5531 ,0.9943 ,,,
0.5530 ,0.5541 ,0.9944 ,,,
0.5540 ,0.5551 ,0.9944 ,,,
0.5550 ,0.5560 ,0.9945 ,,,
0.5560 ,0.5570 ,0.9945 ,,,
0.5570 ,0.5580 ,0.9946 ,,,
0.5580 ,0.5590 ,0.9947 ,,,
0.5590 ,0.5600 ,0.9947 ,,,
0.5600 ,0.5610 ,0.9947 ,,,
0.5610 ,0.5620 ,0.9948 ,,,
0.5620 ,0.5630 ,0.9949 ,,,
0.5630 ,0.5640 ,0.9949 ,,,
0.5640 ,0.5649 ,0.9950 ,,,
0.5650 ,0.5659 ,0.9950 ,,,
0.5660 ,0.5669 ,0.9951 ,,,
0.5670 ,0.5679 ,0.9951 ,,,
0.5680 ,0.5689 ,0.9952 ,,,
0.5690 ,0.5699 ,0.9952 ,,,
0.5700 ,0.5709 ,0.9953 ,,,
0.5710 ,0.5719 ,0.9953 ,,,
0.5720 ,0.5729 ,0.9954 ,,,
0.5730 ,0.5738 ,0.9954 ,,,
0.5740 ,0.5748 ,0.9955 ,,,
0.5750 ,0.5758 ,0.9955 ,,,
0.5760 ,0.5768 ,0.9956 ,,,
0.5770 ,0.5778 ,0.9956 ,,,
0.5780 ,0.5788 ,0.9957 ,,,
0.5790 ,0.5798 ,0.9957 ,,,
0.5800 ,0.5808 ,0.9957 ,,,
0.5810 ,0.5818 ,0.9958 ,,,
0.5820 ,0.5828 ,0.9958 ,,,
0.5830 ,0.5838 ,0.9959 ,,,
0.5840 ,0.5848 ,0.9959 ,,,
0.5850 ,0.5858 ,0.9960 ,,,
0.5860 ,0.5867 ,0.9960 ,,,
0.5870 ,0.5877 ,0.9960 ,,,
0.5880 ,0.5887 ,0.9961 ,,,
0.5890 ,0.5897 ,0.9961 ,,,
0.5900 ,0.5907 ,0.9962 ,,,
0.5910 ,0.5917 ,0.9962 ,,,
0.5920 ,0.5927 ,0.9963 ,,,
0.5930 ,0.5937 ,0.9963 ,,,
0.5940 ,0.5947 ,0.9963 ,,,
0.5950 ,0.5957 ,0.9964 ,,,
0.5960 ,0.5967 ,0.9964 ,,,
0.5970 ,0.5977 ,0.9964 ,,,
0.5980 ,0.5987 ,0.9965 ,,,
0.5990 ,0.5996 ,0.9965 ,,,
0.6000 ,0.6006 ,0.9965 ,,,
0.6100 ,0.6106 ,0.9969 ,,,
0.6200 ,0.6205 ,0.9972 ,,,
0.6300 ,0.6305 ,0.9975 ,,,
0.6400 ,0.6404 ,0.9977 ,,,
0.6500 ,0.6504 ,0.9980 ,,,
0.6600 ,0.6603 ,0.9982 ,,,
0.6700 ,0.6703 ,0.9983 ,,,
0.6800 ,0.6803 ,0.9985 ,,,
0.6900 ,0.6902 ,0.9987 ,,,
0.7000 ,0.7002 ,0.9988 ,,,
0.7100 ,0.7102 ,0.9989 ,,,
0.7200 ,0.7202 ,0.9990 ,,,
0.7300 ,0.7302 ,0.9991 ,,,
0.7400 ,0.7401 ,0.9992 ,,,
0.7500 ,0.7501 ,0.9993 ,,,
0.7600 ,0.7601 ,0.9994 ,,,
0.7700 ,0.7701 ,0.9995 ,,,
0.7800 ,0.7801 ,0.9996 ,,,
0.7900 ,0.7901 ,0.9996 ,,,
0.8000 ,0.8001 ,0.9996 ,,,
0.8100 ,0.8101 ,0.9996 ,,,
0.8200 ,0.8201 ,0.9997 ,,,
0.8300 ,0.8301 ,0.9997 ,,,
0.8400 ,0.8400 ,0.9997 ,,,
0.8500 ,0.8500 ,0.9998 ,,,
0.8600 ,0.8600 ,0.9998 ,,,
0.8700 ,0.8700 ,0.9998 ,,,
0.8800 ,0.8800 ,0.9998 ,,,
0.8900 ,0.8900 ,0.9998 ,,,
0.9000 ,0.9000 ,0.9999 ,,,
0.9100 ,0.9100 ,0.9999 ,,,
0.9200 ,0.9200 ,0.9999 ,,,
0.9300 ,0.9300 ,0.9999 ,,,
0.9400 ,0.9400 ,0.9999 ,,,
0.9500 ,0.9500 ,0.9999 ,,,
0.9600 ,0.9600 ,0.9999 ,,,
0.9700 ,0.9700 ,0.9999 ,,,
0.9800 ,0.9800 ,0.9999 ,,,
0.9900 ,0.9900 ,1.0000 ,,,
1.0000 ,1.0000 ,1.0000 ,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
